id,facilityId,activityId,staffProfileId,sessionDate,timeSlot,capacity
activity-session-mixed-163,facility-main,activity-rehab-01,staff-batch-001,2026-10-13,AM,6
activity-session-mixed-164,facility-main,activity-rehab-02,staff-batch-002,2026-10-14,PM,7
activity-session-mixed-165,facility-main,activity-rehab-03,staff-batch-003,2026-10-15,AM,8
activity-session-mixed-166,facility-main,activity-rehab-01,staff-batch-004,2026-10-16,PM,4
activity-session-mixed-167,facility-main,activity-rehab-02,staff-batch-005,2026-10-17,AM,5
activity-session-mixed-168,facility-main,activity-rehab-03,staff-batch-006,2026-10-18,PM,6
activity-session-mixed-169,facility-main,activity-rehab-01,staff-batch-007,2026-10-19,AM,7
activity-session-mixed-170,facility-main,,staff-batch-008,2026-10-20,PM,8
activity-session-mixed-171,facility-main,activity-rehab-03,staff-batch-009,2026-10-21,AM,4
activity-session-mixed-172,facility-main,activity-rehab-01,staff-batch-001,2026-10-22,PM,5
activity-session-mixed-173,facility-main,activity-rehab-02,staff-batch-002,2026-10-23,AM,6
activity-session-mixed-174,facility-main,activity-rehab-03,staff-batch-003,2026-10-24,PM,7
activity-session-mixed-175,facility-main,activity-rehab-01,staff-batch-004,2026-10-25,AM,8
activity-session-mixed-176,facility-main,activity-rehab-02,staff-batch-005,2026-10-26,PM,4
activity-session-mixed-177,facility-main,activity-rehab-03,staff-batch-006,2026-10-27,AM,5
activity-session-mixed-178,facility-main,activity-rehab-01,staff-batch-007,2026-10-28,PM,6
activity-session-mixed-179,facility-main,activity-rehab-02,staff-batch-008,2026-10-29,AM,7
activity-session-mixed-180,facility-main,activity-rehab-03,,2026-10-30,PM,8
activity-session-mixed-181,facility-main,activity-rehab-01,staff-batch-001,2026-11-01,AM,4
activity-session-mixed-182,facility-main,activity-rehab-02,staff-batch-002,2026-11-02,PM,5
activity-session-mixed-183,facility-main,activity-rehab-03,staff-batch-003,2026-11-03,AM,6
activity-session-mixed-184,facility-main,activity-rehab-01,staff-batch-004,2026-11-04,PM,7
activity-session-mixed-185,facility-main,activity-rehab-02,staff-batch-005,2026-11-05,AM,8
activity-session-mixed-186,facility-main,activity-rehab-03,staff-batch-006,2026-11-06,PM,4
activity-session-mixed-187,facility-main,activity-rehab-01,staff-batch-007,2026-11-07,AM,5
activity-session-mixed-188,facility-main,activity-rehab-02,staff-batch-008,2026-11-08,PM,6
activity-session-mixed-189,facility-main,activity-rehab-03,staff-batch-009,2026-11-09,AM,7
activity-session-mixed-190,facility-main,activity-rehab-01,staff-batch-001,2026-11-10,,8
activity-session-mixed-191,facility-main,activity-rehab-02,staff-batch-002,2026-11-11,AM,4
activity-session-mixed-192,facility-main,activity-rehab-03,staff-batch-003,2026-11-12,PM,5
activity-session-mixed-193,facility-main,activity-rehab-01,staff-batch-004,2026-11-13,AM,6
activity-session-mixed-194,facility-main,activity-rehab-02,staff-batch-005,2026-11-14,PM,7
activity-session-mixed-195,facility-main,activity-rehab-03,staff-batch-006,2026-11-15,AM,8
activity-session-mixed-196,facility-main,activity-rehab-01,staff-batch-007,2026-11-16,PM,4
activity-session-mixed-197,facility-main,activity-rehab-02,staff-batch-008,2026-11-17,AM,5
activity-session-mixed-198,facility-main,activity-rehab-03,staff-batch-009,2026-11-18,PM,6
activity-session-mixed-199,facility-main,activity-rehab-01,staff-batch-001,2026-11-19,AM,7
activity-session-mixed-200,facility-main,activity-rehab-02,staff-batch-002,2026-11-20,PM,-5
